accession_id,phenotype_value
630,11.5
9665,11.66666667
9561,9.0
9584,14.0
9453,10.0
9628,7.0
6982,3.5
10020,9.0
9394,14.66666667
2016,10.0
5757,13.0
10015,5.75
9078,10.66666667
9933,4.0
7947,9.0
7280,8.0
9353,22.0
6105,14.0
8285,6.0
9596,9.25
9901,20.0
8337,14.33333333
9513,6.0
7307,14.0
9844,9.25
10010,10.0
9661,5.333333333
9782,4.75
9833,11.0
9556,6.0
9578,15.75
9816,3.5
6138,19.75
9926,4.75
9792,6.0
9386,8.0
9058,12.0
9720,15.66666667
9680,8.333333333
7430,9.0
9534,13.66666667
424,10.75
6241,12.66666667
7119,7.25
9780,7.25
9797,4.75
6244,11.0
7288,13.0
9819,15.0
9531,14.0
9799,7.5
10002,4.25
9981,12.75
9879,6.5
9336,5.75
9621,9.75
159,7.0
6413,27.25
9798,5.0
8290,8.0
9553,11.0
7126,17.75
9808,12.5
9677,10.5
9881,10.0
9645,11.0
9900,6.75
9891,5.0
6023,27.75
9813,7.0
9655,14.0
9555,7.333333333
9560,9.25
9821,14.75
9523,13.75
9892,9.0
7337,7.5
6086,13.33333333
7094,5.5
9979,14.66666667
9569,11.5
9785,8.0
9831,7.0
9612,9.75
7026,6.0
9826,12.5
9990,10.0
9535,16.0
9731,16.75
9995,5.5
9736,8.333333333
9707,14.25
9695,13.66666667
9636,14.0
9106,11.0
7169,19.75
7517,20.0
9812,8.0
9512,5.5
9554,10.0
6172,12.0
9671,13.33333333
7208,7.0
9762,12.25
9540,13.0
5950,15.25
7014,11.66666667
9684,17.33333333
6221,6.0
7031,7.5
7147,8.666666667
1954,13.5
9710,12.75
7268,5.333333333
9382,11.0
9927,9.666666667
7163,5.0
9619,6.5
7063,10.66666667
7177,5.75
410,9.0
9908,8.0
9608,8.75
6036,12.66666667
9965,11.0
9507,8.666666667
9730,14.25
7072,7.5
7413,5.75
7353,8.5
9600,8.0
9631,26.0
7025,8.5
9955,7.75
6133,22.25
7218,11.33333333
5104,2.5
6901,10.5
6680,16.0
9683,11.25
5772,8.0
9442,14.0
9806,4.5
9601,13.0
1829,9.333333333
9545,7.0
9758,7.333333333
9700,7.75
5720,8.666666667
997,19.5
9594,11.0
9894,8.666666667
8284,17.0
9711,11.75
9532,6.666666667
9125,7.25
9571,3.5
991,29.75
9997,11.0
9757,12.0
6111,16.33333333
5822,5.0
8326,10.75
8420,12.0
9567,10.0
9937,9.75
765,2.0
7209,5.25
9921,6.25
9859,11.0
7372,10.0
9804,7.0
9986,18.0
9687,14.25
9653,7.25
9814,4.333333333
9850,8.0
7192,7.25
9941,6.0
6148,15.66666667
9673,13.0
7143,6.5
8077,7.25
9895,10.0
9510,9.0
6038,13.5
6967,5.25
9801,3.666666667
7255,5.333333333
6396,14.5
6970,7.5
9598,5.0
6188,9.0
9938,7.0
6151,9.666666667
