accession_id,phenotype_value
9519,42.5
9628,31.5
8422,61.0
159,43.5
7415,27.25
9743,54.75
7350,35.0
7343,36.5
6021,57.5
8237,76.33333333
9677,78.0
9866,55.0
9450,56.25
9904,99.0
9937,31.75
9978,44.0
9638,35.0
9787,26.0
9672,47.0
6105,75.0
7107,28.75
9640,45.0
9951,28.0
9511,34.75
9619,42.5
9569,65.5
9535,69.0
9661,19.33333333
7058,34.5
9717,41.0
8233,49.0
9827,49.5
5757,33.33333333
6180,14.75
1158,48.0
9830,34.75
9394,77.33333333
9634,34.66666667
7320,36.75
9944,42.33333333
9971,56.75
9694,41.25
9512,15.0
9689,53.66666667
5811,24.5
7306,24.5
6017,81.0
9820,35.0
9698,50.0
6074,52.75
9813,22.75
9886,42.75
9905,47.33333333
9590,12.5
9113,45.0
6118,74.25
9571,12.25
6189,30.33333333
9708,34.0
7218,44.0
9735,49.5
9987,60.75
9679,49.25
7138,45.0
5984,21.75
9793,15.66666667
7031,20.25
5236,22.25
9133,40.25
5993,49.0
9701,48.0
9646,40.75
9543,42.33333333
9797,24.5
7477,28.25
7062,16.75
6114,67.0
7163,19.5
7162,17.5
1954,50.25
9731,52.5
7282,17.75
9703,54.75
9976,51.25
9778,37.0
7063,32.33333333
6901,74.0
9695,46.66666667
7071,26.75
7199,14.5
410,40.5
9897,53.5
9921,19.0
6038,61.25
9953,35.5
7517,80.0
9890,55.66666667
7096,17.25
7419,20.5
7373,36.75
9523,49.75
9560,33.5
7036,25.5
10022,26.0
9782,21.5
9781,22.33333333
5104,14.5
9833,50.33333333
6909,16.0
9625,41.0
5772,28.75
7332,22.25
9891,75.0
9737,51.66666667
1829,62.0
9436,32.0
9595,41.5
9647,27.0
5720,36.33333333
9606,15.5
9626,38.25
9881,53.75
8307,34.25
9649,40.5
9952,23.5
9726,34.0
9691,50.0
991,80.25
9995,21.75
9757,57.0
6115,48.0
5831,59.25
10008,42.0
9070,49.33333333
9506,47.25
9935,50.25
9794,20.5
7223,31.5
9653,22.25
9845,34.0
7382,17.25
9766,13.0
9972,51.0
9721,47.25
9599,53.33333333
9790,18.75
9832,43.33333333
7207,25.25
9930,45.75
9584,61.75
7161,15.66666667
8235,50.75
9882,44.0
9525,52.25
6039,29.0
6981,14.5
9761,48.5
9729,58.0
6445,24.75
6982,19.25
9521,36.75
6192,33.25
9635,53.33333333
6188,33.0
9826,58.5
9627,45.0
9671,44.0
9828,57.75
9835,38.5
6194,49.75
763,12.0
9665,40.0
5210,52.5
5165,54.0
9515,27.0
7165,21.25
9451,74.0
9816,15.25
6034,51.0
6041,25.5
7209,17.25
9848,51.66666667
9920,23.33333333
7208,25.25
9941,22.25
6124,56.0
9958,48.5
8259,41.5
9917,29.25
9524,76.0
9844,48.66666667
772,15.0
350,28.0
9663,48.33333333
8247,63.0
9676,63.66666667
9704,55.0
9616,43.5
7378,42.25
8231,61.5
9680,36.33333333
9624,33.33333333
9507,25.33333333
6108,43.25
430,36.0
8236,41.66666667
1254,42.0
9573,41.0
7377,35.5
9756,41.66666667
9121,66.0
9942,79.0
997,64.5
9530,55.0
7384,51.25
7319,35.5
7460,17.5
6193,27.75
9741,54.25
9607,45.0
9859,31.0
9057,36.0
7236,32.5
6138,55.75
10018,47.66666667
7125,24.0
6040,58.5
9800,20.5
9843,45.66666667
8386,33.5
5950,57.5
9867,79.66666667
7258,23.0
8343,44.5
870,40.75
9854,19.0
7427,49.0
6184,66.66666667
8376,64.33333333
6987,21.5
7008,57.5
6237,65.0
9102,59.0
7471,9.5
88,30.0
9980,43.0
9696,53.75
9407,46.5
9648,37.5
9807,21.25
7013,16.75
8387,33.33333333
6024,70.0
6986,24.25
7404,17.5
9966,64.0
9759,36.5
9779,26.66666667
8357,40.5
9442,64.0
9938,30.0
7094,16.0
10001,30.25
9857,39.0
9592,69.0
9998,24.75
9608,19.5
8334,27.5
9968,43.25
9383,74.66666667
9693,58.0
9392,39.75
9380,64.5
5276,26.25
9555,54.0
9610,30.75
6968,48.0
8290,22.25
7288,43.25
9514,44.0
7430,21.0
6900,82.0
5800,13.33333333
6090,50.66666667
9786,17.25
6390,36.0
9723,39.33333333
9939,47.75
9568,55.66666667
9981,32.5
9801,13.0
7213,11.25
9336,48.5
9864,30.25
5779,39.25
9868,51.66666667
7109,24.25
7003,31.25
6099,53.0
9399,74.0
7244,23.5
9965,34.66666667
