"dataset.train","dataset.test","nsamples.test","strata","pearson","spearman","cor_success","rmse","mae","coeff_det","ndcg10","ndcg20","ndcg50","ndcg100","time_per_fold","nsamples.train","regressor","markers","extra_covariates","repetition","folds"
"Cauline Leaf number (CL)CVtrain","Cauline Leaf number (CL)CVtest",181,"no_strata",0.660535168184943,0.621984818787565,1,3.61396266492149,2.69461811773117,0.430715969157661,0.820818657567568,0.862220124267341,0.884672470284335,0.949233319633297,1.9685,650.7,"rrBLUP",996,"",1,10
"Cauline Leaf number (CL)CVtrain","Cauline Leaf number (CL)CVtrain [CV]",72.3,"no_strata",0.684604888108217,0.673596670602149,1,3.20984450318337,2.40024074718952,0.466413700903709,0.844991555675399,0.861680932848383,0.892576312354519,0.950940290374443,1.9685,650.7,"rrBLUP",996,"",1,10
"Cauline Leaf number (CL)CVtrain","Cauline Leaf number (CL)CVtest",181,"no_strata",0.659563138173295,0.626219637210272,1,3.6196029142823,2.69346452763392,0.428932198159285,0.816376385725285,0.856431339972478,0.884364640983672,0.948645108997806,32.8471,650.7,"BL",996,"",1,10
"Cauline Leaf number (CL)CVtrain","Cauline Leaf number (CL)CVtrain [CV]",72.3,"no_strata",0.684790338612748,0.673873972151477,1,3.21250682184349,2.4018067472669,0.466088457199147,0.852513800112758,0.86239914491644,0.89705230359116,0.953548760240777,32.8471,650.7,"BL",996,"",1,10
"Cauline Leaf number (CL)CVtrain","Cauline Leaf number (CL)CVtest",181,"no_strata",0.660133601204005,0.629369359953864,1,3.61669160148886,2.68337747629273,0.429859242043286,0.815215574707382,0.853005834254616,0.884412204631021,0.948331707350779,33.6956,650.7,"BayesC",996,"",1,10
"Cauline Leaf number (CL)CVtrain","Cauline Leaf number (CL)CVtrain [CV]",72.3,"no_strata",0.683268034532782,0.672917687219368,1,3.21829845419246,2.40849226515637,0.46408925431992,0.851653635880926,0.855823049684983,0.895893820900297,0.952573101503279,33.6956,650.7,"BayesC",996,"",1,10
"Cauline Leaf number (CL)CVtrain","Cauline Leaf number (CL)CVtest",181,"no_strata",0.66008544977691,0.621570253737509,1,3.61485456692992,2.6967621790482,0.430413683131617,0.821523136798977,0.861093610443348,0.884485171988923,0.949251055978733,2.629,650.7,"rrBLUP",996,"",2,10
"Cauline Leaf number (CL)CVtrain","Cauline Leaf number (CL)CVtrain [CV]",72.3,"no_strata",0.670418944290426,0.650692363354768,1,3.27391788332344,2.47471901464777,0.43188469619263,0.837230358317857,0.859575804820549,0.891073363097991,0.95233552050177,2.629,650.7,"rrBLUP",996,"",2,10
"Cauline Leaf number (CL)CVtrain","Cauline Leaf number (CL)CVtest",181,"no_strata",0.660113438767024,0.626429652463901,1,3.61675235248933,2.68848974170522,0.429829088889247,0.82091130273381,0.856532064606686,0.883875852987596,0.948714148612881,33.9618,650.7,"BL",996,"",2,10
"Cauline Leaf number (CL)CVtrain","Cauline Leaf number (CL)CVtrain [CV]",72.3,"no_strata",0.672548975464176,0.653849360881834,1,3.26201780079835,2.46567730346887,0.436385346703662,0.843309661005086,0.864599055758018,0.893641843172576,0.953087156148636,33.9618,650.7,"BL",996,"",2,10
"Cauline Leaf number (CL)CVtrain","Cauline Leaf number (CL)CVtest",181,"no_strata",0.660069167647806,0.629015420993891,1,3.61650126748583,2.6840520415321,0.429913942701577,0.817387276798795,0.853484009027966,0.883781612267188,0.94855177542005,29.8071,650.7,"BayesC",996,"",2,10
"Cauline Leaf number (CL)CVtrain","Cauline Leaf number (CL)CVtrain [CV]",72.3,"no_strata",0.672014388861525,0.651114876868994,1,3.26237834850892,2.46596733457555,0.436228397312472,0.843394652292275,0.865872078371078,0.894903062432548,0.954388111935223,29.8071,650.7,"BayesC",996,"",2,10
"Cauline Leaf number (CL)CVtrain","Cauline Leaf number (CL)CVtest",181,"no_strata",0.659951424416097,0.622837733747727,1,3.61498007879036,2.69955049893507,0.430278787936949,0.82001024877532,0.86230321885973,0.882719306479108,0.9491602822256,2.51990000000003,650.7,"rrBLUP",996,"",3,10
"Cauline Leaf number (CL)CVtrain","Cauline Leaf number (CL)CVtrain [CV]",72.3,"no_strata",0.686165381232025,0.65958838898692,1,3.23700176606321,2.42100631438306,0.457692498122001,0.820586022881991,0.83676396168826,0.886283000776514,0.944958434257882,2.51990000000003,650.7,"rrBLUP",996,"",3,10
"Cauline Leaf number (CL)CVtrain","Cauline Leaf number (CL)CVtest",181,"no_strata",0.657974419462228,0.624434456948335,1,3.62436614831762,2.69995671297475,0.427283469607682,0.814577525462034,0.857773321858516,0.880986272615685,0.948312600296639,37.7788,650.7,"BL",996,"",3,10
"Cauline Leaf number (CL)CVtrain","Cauline Leaf number (CL)CVtrain [CV]",72.3,"no_strata",0.68465182317898,0.662490796258299,1,3.23858677133784,2.41427048736225,0.454941607153568,0.816633652626785,0.834520404712785,0.890096303645513,0.944719486817047,37.7788,650.7,"BL",996,"",3,10
