dataset.train,dataset.test,nsamples.test,strata,pearson,spearman,cor_success,rmse,mae,coeff_det,ndcg10,ndcg20,ndcg50,ndcg100,time_per_fold,nsamples.train,regressor,markers,extra_covariates,repetition,folds
DaysToFlowering1 split=1 train,DaysToFlowering1 split=1 test,94,no_strata,0.830631033016508,0.826426697417688,1,14.8466158245376,11.205452897461,0.689805478345287,0.949880048643437,0.921987081932142,0.944776425625441,0.977302769706435,5.11,842,KIN GBLUP,NA,,1,0
DaysToFlowering1 split=1 train,DaysToFlowering1 split=1 test,94,no_strata,0.841922783968768,0.836592478425772,1,14.4051111267636,11.1466427085107,0.707980126910089,0.964411013606965,0.931712634734109,0.950668284667332,0.98262011498099,41.631,842,KIN RKHS,NA,,1,0
DaysToFlowering1 split=1 train,DaysToFlowering1 split=1 test,94,no_strata,0.830631033016508,0.826426697417688,1,14.8466158245376,11.205452897461,0.689805478345287,0.949880048643437,0.921987081932142,0.944776425625441,0.977302769706435,5.646,842,KIN GBLUP,NA,,2,0
DaysToFlowering1 split=1 train,DaysToFlowering1 split=1 test,94,no_strata,0.841378654328782,0.835711010562953,1,14.4257580271177,11.1098695221108,0.707142420615285,0.96427910493434,0.931503140012931,0.950492865181717,0.982460282600794,41.212,842,KIN RKHS,NA,,2,0
DaysToFlowering1 split=1 train,DaysToFlowering1 split=1 test,94,no_strata,0.830631033016508,0.826426697417688,1,14.8466158245376,11.205452897461,0.689805478345287,0.949880048643437,0.921987081932142,0.944776425625441,0.977302769706435,5.136,842,KIN GBLUP,NA,,3,0
DaysToFlowering1 split=1 train,DaysToFlowering1 split=1 test,94,no_strata,0.840743527567367,0.836592478425772,1,14.4524527632492,11.1081878224677,0.706057557118385,0.96427910493434,0.931600786944416,0.9504388107874,0.982441621880861,44.308,842,KIN RKHS,NA,,3,0
DaysToFlowering1 split=1 train,DaysToFlowering1 split=1 test,94,no_strata,0.830631033016508,0.826426697417688,1,14.8466158245376,11.205452897461,0.689805478345287,0.949880048643437,0.921987081932142,0.944776425625441,0.977302769706435,6.24000000000001,842,KIN GBLUP,NA,,4,0
DaysToFlowering1 split=1 train,DaysToFlowering1 split=1 test,94,no_strata,0.841292482500291,0.835985566126782,1,14.4298468921583,11.1069329631311,0.706976380838313,0.96427910493434,0.931340166271147,0.950424694402583,0.982390442744851,50.699,842,KIN RKHS,NA,,4,0
DaysToFlowering1 split=1 train,DaysToFlowering1 split=1 test,94,no_strata,0.830631033016508,0.826426697417688,1,14.8466158245376,11.205452897461,0.689805478345287,0.949880048643437,0.921987081932142,0.944776425625441,0.977302769706435,6.42499999999998,842,KIN GBLUP,NA,,5,0
DaysToFlowering1 split=1 train,DaysToFlowering1 split=1 test,94,no_strata,0.840460497038133,0.834569437429138,1,14.4627832233967,11.1505643517058,0.705637193046996,0.964411013606965,0.932403399692764,0.950870389045778,0.982726928705251,51.795,842,KIN RKHS,NA,,5,0
DaysToFlowering1 split=10 train,DaysToFlowering1 split=10 test,93,no_strata,0.828403099727119,0.813651251321468,1,14.3544516401239,10.665287783259,0.680422724220996,0.905271859850459,0.896244775515087,0.936401988644502,0.974287386043576,6.46899999999999,843,KIN GBLUP,NA,,1,0
DaysToFlowering1 split=10 train,DaysToFlowering1 split=10 test,93,no_strata,0.827293538701273,0.814576355209786,1,14.3993847472697,10.7444538412944,0.678418875527103,0.905191148615126,0.896418075709436,0.936607796016934,0.974448727777143,51.727,843,KIN RKHS,NA,,1,0
DaysToFlowering1 split=10 train,DaysToFlowering1 split=10 test,93,no_strata,0.828403099727119,0.813651251321468,1,14.3544516401239,10.665287783259,0.680422724220996,0.905271859850459,0.896244775515087,0.936401988644502,0.974287386043576,6.49900000000002,843,KIN GBLUP,NA,,2,0
DaysToFlowering1 split=10 train,DaysToFlowering1 split=10 test,93,no_strata,0.82715711170102,0.81767246902956,1,14.4066414706221,10.733418940681,0.678094665385592,0.906835610865853,0.911165370944438,0.937633036855586,0.975275345256667,51.642,843,KIN RKHS,NA,,2,0
DaysToFlowering1 split=10 train,DaysToFlowering1 split=10 test,93,no_strata,0.828403099727119,0.813651251321468,1,14.3544516401239,10.665287783259,0.680422724220996,0.905271859850459,0.896244775515087,0.936401988644502,0.974287386043576,6.39100000000002,843,KIN GBLUP,NA,,3,0
DaysToFlowering1 split=10 train,DaysToFlowering1 split=10 test,93,no_strata,0.830428084391875,0.820179202146293,1,14.2820617416911,10.6111141051812,0.683637870851649,0.906835610865853,0.91121639720814,0.937866364885994,0.975498834713894,52.184,843,KIN RKHS,NA,,3,0
DaysToFlowering1 split=10 train,DaysToFlowering1 split=10 test,93,no_strata,0.828403099727119,0.813651251321468,1,14.3544516401239,10.665287783259,0.680422724220996,0.905271859850459,0.896244775515087,0.936401988644502,0.974287386043576,6.62600000000003,843,KIN GBLUP,NA,,4,0
DaysToFlowering1 split=10 train,DaysToFlowering1 split=10 test,93,no_strata,0.829369142072107,0.817075627811291,1,14.3201878296997,10.6443740050623,0.681946553458229,0.906835610865853,0.91122892512517,0.93760838202182,0.975231335462482,52.549,843,KIN RKHS,NA,,4,0
DaysToFlowering1 split=10 train,DaysToFlowering1 split=10 test,93,no_strata,0.828403099727119,0.813651251321468,1,14.3544516401239,10.665287783259,0.680422724220996,0.905271859850459,0.896244775515087,0.936401988644502,0.974287386043576,6.63100000000003,843,KIN GBLUP,NA,,5,0
DaysToFlowering1 split=10 train,DaysToFlowering1 split=10 test,93,no_strata,0.829150789611765,0.816956259567637,1,14.3397563684289,10.6681978312834,0.681076719388926,0.906835610865853,0.90906255805071,0.938670468536277,0.975182295009293,52.082,843,KIN RKHS,NA,,5,0
DaysToFlowering1 split=2 train,DaysToFlowering1 split=2 test,94,no_strata,0.796089313636485,0.798439419638091,1,16.0749022738156,11.8357484977019,0.627145736265537,0.903100137986648,0.915532172047903,0.950586581978715,0.976924114731639,6.42499999999995,842,KIN GBLUP,NA,,1,0
DaysToFlowering1 split=2 train,DaysToFlowering1 split=2 test,94,no_strata,0.796211082876036,0.801726754370385,1,16.11180763148,11.9109678800108,0.625431745666779,0.903100137986648,0.913925609329474,0.947872747528288,0.976914217982935,51.534,842,KIN RKHS,NA,,1,0
DaysToFlowering1 split=2 train,DaysToFlowering1 split=2 test,94,no_strata,0.796089313636485,0.798439419638091,1,16.0749022738156,11.8357484977019,0.627145736265537,0.903100137986648,0.915532172047903,0.950586581978715,0.976924114731639,6.42899999999997,842,KIN GBLUP,NA,,2,0
DaysToFlowering1 split=2 train,DaysToFlowering1 split=2 test,94,no_strata,0.795273663705103,0.796279171099726,1,16.1469678189542,11.9075473204709,0.623795149647029,0.890282977710587,0.914698423897607,0.945656981649848,0.976437687169109,51.2520000000001,842,KIN RKHS,NA,,2,0
DaysToFlowering1 split=2 train,DaysToFlowering1 split=2 test,94,no_strata,0.796089313636485,0.798439419638091,1,16.0749022738156,11.8357484977019,0.627145736265537,0.903100137986648,0.915532172047903,0.950586581978715,0.976924114731639,6.52099999999996,842,KIN GBLUP,NA,,3,0
DaysToFlowering1 split=2 train,DaysToFlowering1 split=2 test,94,no_strata,0.79551971093834,0.799595405478019,1,16.1449248440922,11.8941944172586,0.623890341318833,0.889108259715743,0.914065635359004,0.94690067988317,0.976145746318099,50.737,842,KIN RKHS,NA,,3,0
DaysToFlowering1 split=2 train,DaysToFlowering1 split=2 test,94,no_strata,0.796089313636485,0.798439419638091,1,16.0749022738156,11.8357484977019,0.627145736265537,0.903100137986648,0.915532172047903,0.950586581978715,0.976924114731639,6.37600000000009,842,KIN GBLUP,NA,,4,0
DaysToFlowering1 split=2 train,DaysToFlowering1 split=2 test,94,no_strata,0.797091135331818,0.801885702423376,1,16.0830243854763,11.8609399811705,0.626768859445104,0.912528853592026,0.916399390423515,0.948655162659573,0.977468409716831,50.624,842,KIN RKHS,NA,,4,0
DaysToFlowering1 split=2 train,DaysToFlowering1 split=2 test,94,no_strata,0.796089313636485,0.798439419638091,1,16.0749022738156,11.8357484977019,0.627145736265537,0.903100137986648,0.915532172047903,0.950586581978715,0.976924114731639,6.38,842,KIN GBLUP,NA,,5,0
DaysToFlowering1 split=2 train,DaysToFlowering1 split=2 test,94,no_strata,0.794757886918698,0.798865689416564,1,16.1523743640393,11.9008234564061,0.623543175526831,0.903100137986648,0.915873644899219,0.951963355739483,0.977079997527867,51.196,842,KIN RKHS,NA,,5,0
DaysToFlowering1 split=3 train,DaysToFlowering1 split=3 test,94,no_strata,0.832081066068612,0.843557861914356,1,14.6312648191018,10.7088262003978,0.684531329906795,0.893039841925109,0.908225357943576,0.952640021308285,0.97327588651349,6.48700000000008,842,KIN GBLUP,NA,,1,0
