"dataset.train","dataset.test","nsamples.test","strata","pearson","spearman","cor_success","rmse","mae","coeff_det","ndcg10","ndcg20","ndcg50","ndcg100","time_per_fold","nsamples.train","regressor","markers","extra_covariates","repetition","folds"
"Cauline Leaf number (CL) split=1 train","Cauline Leaf number (CL) split=1 test",91,"no_strata",0.768522770517086,0.656565523689136,1,2.98184107654699,2.28398611763872,0.537192249151344,0.925913156616095,0.897793030323693,0.928110032816268,0.973135687468768,2.30599999986589,813,"rrBLUP-kin",813,"",1,0
"Cauline Leaf number (CL) split=1 train","Cauline Leaf number (CL) split=1 test",91,"no_strata",0.768522770517086,0.656565523689136,1,2.98184107654699,2.28398611763872,0.537192249151344,0.925913156616095,0.897793030323693,0.928110032816268,0.973135687468768,2.29700000002049,813,"rrBLUP-kin",813,"",2,0
"Cauline Leaf number (CL) split=1 train","Cauline Leaf number (CL) split=1 test",91,"no_strata",0.768522770517086,0.656565523689136,1,2.98184107654699,2.28398611763872,0.537192249151344,0.925913156616095,0.897793030323693,0.928110032816268,0.973135687468768,2.22200000006706,813,"rrBLUP-kin",813,"",3,0
"Cauline Leaf number (CL) split=1 train","Cauline Leaf number (CL) split=1 test",91,"no_strata",0.768522770517086,0.656565523689136,1,2.98184107654699,2.28398611763872,0.537192249151344,0.925913156616095,0.897793030323693,0.928110032816268,0.973135687468768,2.21100000012666,813,"rrBLUP-kin",813,"",4,0
"Cauline Leaf number (CL) split=1 train","Cauline Leaf number (CL) split=1 test",91,"no_strata",0.768522770517086,0.656565523689136,1,2.98184107654699,2.28398611763872,0.537192249151344,0.925913156616095,0.897793030323693,0.928110032816268,0.973135687468768,2.21699999994598,813,"rrBLUP-kin",813,"",5,0
"Cauline Leaf number (CL) split=10 train","Cauline Leaf number (CL) split=10 test",90,"no_strata",0.665601123214128,0.607171575780654,1,3.10231962402407,2.41319008637153,0.43140775210691,0.850084123305574,0.86156957626437,0.892532797577033,0.954951628214459,2.32200000016019,814,"rrBLUP-kin",814,"",1,0
"Cauline Leaf number (CL) split=10 train","Cauline Leaf number (CL) split=10 test",90,"no_strata",0.665601123214128,0.607171575780654,1,3.10231962402407,2.41319008637153,0.43140775210691,0.850084123305574,0.86156957626437,0.892532797577033,0.954951628214459,2.2180000001099,814,"rrBLUP-kin",814,"",2,0
"Cauline Leaf number (CL) split=10 train","Cauline Leaf number (CL) split=10 test",90,"no_strata",0.665601123214128,0.607171575780654,1,3.10231962402407,2.41319008637153,0.43140775210691,0.850084123305574,0.86156957626437,0.892532797577033,0.954951628214459,2.20999999996275,814,"rrBLUP-kin",814,"",3,0
"Cauline Leaf number (CL) split=10 train","Cauline Leaf number (CL) split=10 test",90,"no_strata",0.665601123214128,0.607171575780654,1,3.10231962402407,2.41319008637153,0.43140775210691,0.850084123305574,0.86156957626437,0.892532797577033,0.954951628214459,2.20599999977276,814,"rrBLUP-kin",814,"",4,0
"Cauline Leaf number (CL) split=10 train","Cauline Leaf number (CL) split=10 test",90,"no_strata",0.665601123214128,0.607171575780654,1,3.10231962402407,2.41319008637153,0.43140775210691,0.850084123305574,0.86156957626437,0.892532797577033,0.954951628214459,2.21299999998882,814,"rrBLUP-kin",814,"",5,0
"Cauline Leaf number (CL) split=2 train","Cauline Leaf number (CL) split=2 test",91,"no_strata",0.683810802135258,0.676301820784281,1,3.60516450877616,2.73564032488405,0.390124545462646,0.839385540672378,0.834141236982596,0.884759528735413,0.9380740897791,2.20200000004843,813,"rrBLUP-kin",813,"",1,0
"Cauline Leaf number (CL) split=2 train","Cauline Leaf number (CL) split=2 test",91,"no_strata",0.683810802135258,0.676301820784281,1,3.60516450877616,2.73564032488405,0.390124545462646,0.839385540672378,0.834141236982596,0.884759528735413,0.9380740897791,2.20399999991059,813,"rrBLUP-kin",813,"",2,0
"Cauline Leaf number (CL) split=2 train","Cauline Leaf number (CL) split=2 test",91,"no_strata",0.683810802135258,0.676301820784281,1,3.60516450877616,2.73564032488405,0.390124545462646,0.839385540672378,0.834141236982596,0.884759528735413,0.9380740897791,2.20299999997951,813,"rrBLUP-kin",813,"",3,0
"Cauline Leaf number (CL) split=2 train","Cauline Leaf number (CL) split=2 test",91,"no_strata",0.683810802135258,0.676301820784281,1,3.60516450877616,2.73564032488405,0.390124545462646,0.839385540672378,0.834141236982596,0.884759528735413,0.9380740897791,2.20099999988452,813,"rrBLUP-kin",813,"",4,0
"Cauline Leaf number (CL) split=2 train","Cauline Leaf number (CL) split=2 test",91,"no_strata",0.683810802135258,0.676301820784281,1,3.60516450877616,2.73564032488405,0.390124545462646,0.839385540672378,0.834141236982596,0.884759528735413,0.9380740897791,2.20200000004843,813,"rrBLUP-kin",813,"",5,0
"Cauline Leaf number (CL) split=3 train","Cauline Leaf number (CL) split=3 test",91,"no_strata",0.625658652094791,0.567785217972354,1,4.1580613950441,3.28022081706519,0.196729140930399,0.876214842930083,0.837665185779445,0.88495658552166,0.952430099911024,2.20800000010058,813,"rrBLUP-kin",813,"",1,0
"Cauline Leaf number (CL) split=3 train","Cauline Leaf number (CL) split=3 test",91,"no_strata",0.625658652094791,0.567785217972354,1,4.1580613950441,3.28022081706519,0.196729140930399,0.876214842930083,0.837665185779445,0.88495658552166,0.952430099911024,2.21700000017881,813,"rrBLUP-kin",813,"",2,0
